grade,int_rate
1,0.07222839388145315
2,0.07256119133574007
3,0.07219599618684462
4,0.07255714285714285
5,0.07185733452593918
6,0.1086109232769831
7,0.10890363516192994
8,0.108436490993996
9,0.10862279163857046
10,0.10832972972972973
11,0.14408561782579338
12,0.14477633840052875
13,0.1441443117977528
14,0.1436317192982456
15,0.14442181947405827
16,0.18859285714285715
17,0.18830144546649144
18,0.18925958279009128
19,0.18756421636615814
20,0.18762153047989624
21,0.21900384615384613
22,0.2215648
23,0.21951255230125524
24,0.22034404332129964
25,0.22047875457875457
26,0.25516197183098593
27,0.2570313432835821
28,0.2585325842696629
29,0.25698809523809524
30,0.25903023255813956
31,0.2800142857142857
32,0.28644615384615385
33,0.27972857142857144
34,0.27677333333333337
35,0.2839037037037037
