,mean,std_dev
avg_cur_bal,12590.785687199408,12166.544389005692
tot_cur_bal,138309.54407140214,136226.05308725446
loan_amount,15503.21402145764,9451.643032213704
funded_amount,15503.21402145764,9451.643032213704
int_rate,0.13065620657840332,0.04701569441031313
installment_per_month,456.1687741582085,271.6362767267378
